batch_stage,batch_size,total_need_blocks,total_prefill_token,max_seq_len,model_execute_time,input_length,output_length,xgboost_prediction,xgboost_abs_error
decode,1,207,0,1,5.906,0,1,6.6868515,0.7808515014648441
decode,2,341,0,1,6.065,0,2,7.119454,1.054453907012939
decode,3,513,0,1,6.672,0,3,7.119454,0.44745390701293974
decode,4,420,0,1,6.608,0,4,7.119454,0.5114539070129398
decode,5,603,0,1,6.879,0,5,7.5615697,0.6825696907043461
decode,6,786,0,1,6.989,0,6,7.848292,0.8592918739318849
decode,7,1014,0,1,7.49,0,7,8.171589,0.6815888977050779
decode,8,1395,0,1,8.051,0,8,8.757185,0.7061849822998045
decode,9,1502,0,1,8.684,0,9,8.91181,0.22780992126464916
decode,10,1165,0,1,7.633,0,10,8.331907,0.6989072723388672
decode,11,1596,0,1,8.385,0,11,9.097828,0.7128279113769533
decode,12,2231,0,1,9.555,0,12,10.001644,0.44664413452148466
decode,13,2101,0,1,9.416,0,13,9.7789135,0.3629134979248043
decode,14,2080,0,1,9.088,0,14,9.746889,0.6588891143798836
decode,15,2616,0,1,10.176,0,15,10.534834,0.35883390808105453
decode,16,2448,0,1,9.905,0,16,10.186249,0.28124877929687564
decode,17,2739,0,1,9.898,0,17,10.78767,0.8896701354980472
decode,18,2797,0,1,10.187,0,18,10.78767,0.6006701354980475
decode,19,3126,0,1,10.752,0,19,10.995929,0.24392876434326105
decode,20,3389,0,1,10.809,0,20,11.17175,0.3627500686645515
decode,21,3553,0,1,11.305,0,21,11.275163,0.02983730316162081
decode,22,3891,0,1,11.654,0,22,11.887258,0.23325757598876962
decode,23,3328,0,1,10.977,0,23,11.17175,0.19475006866455047
decode,24,4119,0,1,11.813,0,24,12.112812,0.2998120422363275
decode,25,4647,0,1,12.548,0,25,12.52314,0.024860046386718793
decode,26,4106,0,1,12.225,0,26,12.112812,0.11218795776367152
decode,27,3276,0,1,11.448,0,27,11.17175,0.2762499313354496
decode,28,4497,0,1,12.611,0,28,12.13011,0.48089021301269597
decode,29,4734,0,1,12.637,0,29,12.52314,0.1138600463867192
decode,30,4919,0,1,12.55,0,30,12.970944,0.42094440460205007
decode,31,5040,0,1,13.284,0,31,12.970944,0.3130555953979499
decode,32,4490,0,1,13.092,0,32,12.13011,0.9618902130126958
decode,33,4673,0,1,13.363,0,33,12.52314,0.8398600463867183
decode,34,6357,0,1,14.448,0,34,14.325512,0.12248806762695352
decode,35,5120,0,1,13.317,0,35,12.970944,0.3460555953979494
decode,36,5412,0,1,13.915,0,36,13.2961445,0.6188555145263663
decode,37,6801,0,1,15.158,0,37,14.325512,0.8324880676269526
decode,38,6396,0,1,15.046,0,38,14.325512,0.7204880676269525
decode,39,5841,0,1,14.138,0,39,13.75951,0.3784899597167968
decode,40,6428,0,1,15.159,0,40,14.325512,0.8334880676269538
decode,41,6578,0,1,16.356,0,41,15.819265,0.5367346343994157
decode,42,6140,0,1,15.248,0,42,14.3971,0.8508995513916009
decode,43,6892,0,1,15.822,0,43,15.925512,0.2734006343994132
decode,44,7151,0,1,16.518,0,44,16.919265,0.6987346343994147
decode,45,7502,0,1,16.854,0,45,17.55047,1.3473046343994133
decode,46,7116,0,1,16.552,0,46,16.819265,0.7327346343994137
decode,47,7809,0,1,16.73,0,47,17.13011,0.9107346343994145
decode,48,7881,0,1,17.047,0,48,17.55047,0.2277346343994147
decode,49,7950,0,1,17.723,0,49,17.826195,0.903734634399413
decode,50,7784,0,1,17.833,0,50,17.91181,0.1307346343994125
